YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
1948,13.2,44.9,48.4,52.6,135.9,200.4,268.4,323.6,214.3,116.7,113.6,0,1532.1
1949,6.8,3,33.5,114.7,188.9,214.5,325,285.5,209.8,110.5,1.3,0,1493.7
1950,0,6.5,25.9,14.1,101.2,371.1,338.8,373.3,176.4,93.3,115.2,0,1615.6
1951,0,0.4,62.1,13.1,67.4,180.7,253.5,260.3,200.1,140,36,0.4,1214
1952,0.3,1.1,23.3,99.7,77,167.4,431,244.7,189.1,159.6,2.5,0,1395.7
1953,25.8,14.1,4.8,13.6,61.9,311.1,358.3,343.1,278.5,56,38.6,0,1505.8
1954,12.3,5.9,0.3,11.6,88.6,211.1,201.7,215.1,247.1,56.8,1.5,28,1080
1955,2.9,2.3,11.4,24.3,48,174.7,338.8,251.9,188.1,151.9,73.9,0.1,1268.2
1956,4.5,33.9,50.7,25.6,141.6,343.3,253.9,295.4,391.1,157.6,12.7,3.9,1714.2
1957,50.2,26.6,8.7,6,16.4,231.8,312.1,201.1,239.4,38.2,0.1,0,1130.5
1958,12.7,25.6,13.3,37.9,58.3,95.2,280.1,215.1,294.7,109.3,8.9,0,1151.1
1959,33.5,12.7,17.3,28.2,91.4,208.5,273.3,328.5,487.3,331.2,0.3,0.4,1812.9
1960,0.6,1.4,30.9,0.9,122.3,117.5,336.5,317.4,246.3,71.1,0.6,0,1245.5
1961,11.1,75.8,6.8,13.6,91.2,275,171.4,252.8,290.9,101,0.8,0.1,1290.4
1962,8.8,13.1,6,54.5,80.3,185.6,241.1,209.3,233.6,141,0,0.1,1173.6
1963,0.4,2.4,5.7,61.6,103.6,258.8,277.6,167.1,270.9,131.5,9.5,0.5,1289.5
1964,2.7,11.1,18,58.3,84.7,136.2,404.2,211.3,219.9,124,8,0,1278.5
1965,0.3,33.9,46.5,32.8,45.3,227.6,289.6,287,220.3,80.1,0.3,0.2,1263.7
1966,33.1,4.4,5.1,18.3,43.4,296,168.7,236.6,187.2,84.9,34.7,6.3,1118.7
1967,52.5,3.3,44.9,65.3,53,131.6,247.8,368.8,326.2,52.3,1.3,1.4,1348.4
1968,5.7,7.6,7.7,12.6,35.5,368.8,418.2,472.2,115.2,115.9,37.8,0.6,1597.7
1969,4.7,5.1,20.9,80.2,89,139.8,276.2,418,300.9,45.9,23.2,0.2,1404
1970,10.8,15.1,30.8,16.8,63.5,323.2,285,219.8,472.6,195,15.8,0,1648.5
1971,30.6,14.2,4.8,174.2,122.1,260.3,472.5,573.4,252.8,163.5,31.4,0,2099.8
1972,2.8,43.1,4.1,16.4,25.1,125.9,288.3,543.2,222.5,59.7,2.1,0,1333.2
1973,1.3,8.9,67.6,26,134.2,204.2,304.9,335,401.6,206.6,20.9,23.9,1735.2
1974,3.6,0,83.1,29.8,94.5,96.4,438.5,317.1,262.7,140.3,4.6,0,1470.7
1975,9.9,18.7,10.6,38.1,65.8,156.6,364.9,331.1,286.3,141.6,42.6,0,1466.2
1976,0,32.8,20.7,47.5,133.1,148.9,296.6,279.6,197.5,52.1,31.2,0.6,1240.6
1977,11.7,24.2,7.3,89.9,176.4,409.4,450.9,329.4,171.3,86.6,48,35.5,1840.6
1978,1.4,21.2,50.5,49.8,116.3,253,274.1,349.1,591.8,148.8,10.3,6.4,1872.5
1979,16,27.3,8.4,28,22.3,282.9,296.4,229.6,167,48,11.5,20.4,1157.9
1980,15.5,22.6,60.9,21.8,109.9,303.6,403.2,243.3,181,158.6,0,0.4,1521
1981,13.7,63.9,64.8,110.8,250.9,321.4,417.7,327.7,250,11.6,3.8,72.8,1909
1982,2.4,35.8,87.2,70.9,37.1,196,224.5,308.9,101.1,29.2,17.9,0,1111
1983,9.1,39.2,47,44.2,132.5,188.9,207.6,365.4,247.4,167.6,1.1,13.6,1463.6
1984,19.1,2.6,0.6,46.6,82.6,597.1,332.7,442.2,196.4,111.8,0,0,1831.7
1985,10.9,22,8.8,24.1,99.6,280.4,286.3,340.6,201.8,137.2,1.8,0,1413.4
1986,9.6,6.3,7.1,48.5,146.1,227.9,313.4,181.2,522.2,201.5,106.4,20.6,1791
1987,1.8,7.1,18.9,76.6,91.7,146.9,427.4,473,262.6,34.1,43.7,7.7,1591.5
1988,1.7,22.9,53.5,45.3,109.3,508.8,299.9,292.6,207.1,100.4,39.5,0.5,1681.5
1989,0.4,4.9,6.1,5.4,173.6,318.2,414.5,291.4,284.2,105.5,3.7,18.3,1626.3
1990,2.2,62.2,119,79.3,147.6,268.2,520.2,236.3,300.7,174.2,47.9,3.5,1961.3
1991,27.8,11.4,41.7,34.5,66.1,257.4,381.2,331.3,249.2,125.6,15.6,67.5,1609.1
1992,14,49.5,0.1,25,127,239.9,407.6,254.1,226.6,66.2,4.4,0.2,1414.6
1993,0.3,3.8,40.8,78.6,116.2,328.5,280,357.7,421.4,94.2,38.2,0,1759.7
1994,23.8,48.8,7.3,63.7,98,310.1,426.1,294.4,166.1,82.9,9.6,0,1530.8
1995,20.2,30.1,8.7,10.1,202.9,185.4,401.1,413,411.5,86.4,160.5,6.2,1936
1996,11,13.2,10.4,39.2,67.5,336,251.3,472,143.5,155.9,4.1,0,1504
1997,18.7,23.6,44.2,101.8,98.2,219.6,437.3,387.3,244,27.8,30.5,24.9,1657.7
1998,52.9,31,128.8,53,87.1,154.3,295.2,265.7,296.3,191.4,77.1,0,1632.7
1999,0.1,0.7,1.6,10.5,217.9,268.8,405.2,375.4,467.8,195.3,13.7,0,1957
2000,9.5,57.9,3.8,54,215,205.6,341.5,178.4,428.4,76.2,1.6,0.1,1572.1
2001,0.3,1.9,32.8,49.4,175.8,384.2,269.3,248.7,205.9,163.6,8.8,0,1540.6
2002,26.3,1.5,26.6,77.4,114.1,347.7,281.6,289.3,326.4,71.5,50.9,0.1,1613.3
2003,0.5,11.7,70,36.3,81.9,280.5,253.4,239.3,155,341.5,8.9,17.7,1496.7
2004,3.3,1.6,14.9,62.8,72.9,287.5,250.7,389.9,264.3,220.7,0,0.8,1569.4
2005,26.8,11.8,82.8,41.8,82.4,200.1,354.5,226.7,221.3,351.7,0,4.9,1604.9
2006,0.8,3,10.6,60.5,120.8,221,486.6,320.3,380.9,49.7,5.9,0.3,1660.5
2007,3.9,56.2,39.3,38.7,98.7,226.3,610.1,328,459.9,55.8,24.6,0,1941.4
2008,49.4,12.4,11.5,42.8,94.4,414.5,338.4,252.2,267.3,72.3,0,0.2,1555.2
2009,2.4,1.4,17.9,2.6,229,69.7,277.6,332.7,294.6,77.3,9.4,0.3,1315
2010,0.2,10.3,8,15.9,127.5,189.3,196.3,192.6,192.6,96.2,6.3,29.7,1064.8
2011,2.5,2.7,40.5,75,132.6,434.5,219.9,443.2,295.9,36.9,1.3,1.4,1686.5
2012,40.7,15.3,4.4,57.7,44.2,146.6,315,261.4,246.9,64.2,47,24.6,1268
2013,2.5,10,4.8,45.6,195.9,233.4,263.2,401.4,254,353.2,0,0,1764.1
2014,0.9,42.2,19.9,1.9,124.4,193.6,298.7,292.6,229.5,56.9,0.1,0.6,1261.4
2015,12.9,5.5,19.3,88.7,57.6,247.2,633.1,260.6,164,32.7,2.3,6.3,1530.3
2016,9.9,37.9,14.7,5.8,111.9,172.7,334.7,416.7,233.7,69.8,19.2,0,1427
2017,1.4,0,35.2,25.8,106.3,193.7,489.3,264.5,191.4,225.2,21.9,14,1568.6
